□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□
# BTSB bench test - dual thermocouple log
# TC1 = HOT plate, TC2 = COLD plate, temps in deg C
# Hard limit 120 C on TC1 - cut power if ALARM appears
time_s,T1_hot_C,T2_cold_C,delta_C
130.6,38.75,38.25,0.50
131.6,39.75,38.25,1.50
132.6,39.75,37.50,2.25
133.6,39.50,37.75,1.75
134.6,39.75,38.00,1.75
135.6,39.50,38.00,1.50
136.6,39.75,38.50,1.25
137.6,40.00,38.50,1.50
138.6,39.25,38.25,1.00
139.6,39.75,38.25,1.50
140.6,39.50,38.00,1.50
141.6,39.75,38.50,1.25
142.6,40.00,38.50,1.50
143.6,40.00,38.50,1.50
144.6,39.50,38.50,1.00
145.6,40.25,38.50,1.75
146.6,40.00,38.50,1.50
147.6,40.25,37.75,2.50
148.6,40.50,38.50,2.00
149.6,40.50,38.00,2.50
150.6,40.50,38.50,2.00
151.6,40.00,38.25,1.75
152.6,40.25,38.00,2.25
153.7,40.50,38.00,2.50
154.7,40.00,38.25,1.75
155.7,40.50,38.50,2.00
156.7,40.50,38.25,2.25
157.7,40.00,38.75,1.25
158.7,40.50,38.75,1.75
159.7,40.75,38.50,2.25
160.7,40.25,38.75,1.50
161.7,40.75,38.50,2.25
162.7,40.75,38.50,2.25
163.7,40.75,38.50,2.25
164.7,40.75,38.50,2.25
165.7,41.00,38.75,2.25
166.7,41.25,38.75,2.50
167.7,40.75,38.75,2.00
168.7,41.00,38.50,2.50
169.7,41.50,38.25,3.25
170.7,41.25,38.50,2.75
171.7,40.75,38.50,2.25
172.7,41.75,38.25,3.50
173.7,41.50,38.75,2.75
174.7,41.50,38.75,2.75
175.7,41.25,38.75,2.50
176.7,41.75,38.50,3.25
177.7,41.25,38.75,2.50
178.7,41.75,38.75,3.00
179.7,42.00,38.00,4.00
180.7,41.50,38.25,3.25
181.7,41.75,38.75,3.00
182.7,42.00,38.50,3.50
183.7,42.00,38.25,3.75
184.7,41.50,38.75,2.75
185.7,42.00,38.75,3.25
186.7,41.75,38.50,3.25
187.7,42.00,38.50,3.50
188.7,42.25,38.75,3.50
189.7,42.25,38.75,3.50
190.8,42.50,38.25,4.25
191.8,42.25,38.75,3.50
192.8,41.50,38.50,3.00
193.8,42.25,39.00,3.25
194.8,42.50,38.25,4.25
195.8,42.75,39.00,3.75
196.8,42.25,39.00,3.25
197.8,42.75,38.75,4.00
198.8,42.50,39.00,3.50
199.8,43.00,39.00,4.00
200.8,43.00,39.00,4.00
201.8,42.75,38.75,4.00
202.8,42.50,39.25,3.25
203.8,43.25,39.25,4.00
204.8,43.25,38.75,4.50
205.8,42.75,38.75,4.00
206.8,43.25,39.00,4.25
207.8,43.00,39.00,4.00
208.8,43.25,39.00,4.25
209.8,43.50,38.75,4.75
210.8,43.25,39.00,4.25
211.8,43.50,39.25,4.25
212.8,43.25,39.00,4.25
213.8,43.50,39.25,4.25
214.8,43.50,38.75,4.75
215.8,43.00,39.25,3.75
216.8,43.25,39.25,4.00
217.8,43.25,39.00,4.25
218.8,43.50,39.25,4.25
219.8,43.50,39.25,4.25
220.8,43.50,39.25,4.25
221.8,44.00,39.25,4.75
222.8,43.50,39.25,4.25
223.8,44.00,39.00,5.00
224.8,43.75,39.50,4.25
225.8,44.00,39.25,4.75
226.8,44.00,39.25,4.75
227.8,44.25,38.75,5.50
228.9,44.00,39.25,4.75
229.9,44.00,39.50,4.50
230.9,44.00,39.50,4.50
231.9,44.00,39.25,4.75
232.9,44.50,39.25,5.25
233.9,44.75,39.50,5.25
234.9,44.25,39.00,5.25
235.9,44.75,39.25,5.50
236.9,44.75,39.25,5.50
237.9,44.75,39.25,5.50
238.9,45.00,39.25,5.75
239.9,44.50,39.50,5.00
240.9,44.75,39.75,5.00
241.9,44.75,39.25,5.50
242.9,45.25,39.50,5.75
243.9,44.75,39.50,5.25
244.9,45.25,40.00,5.25
245.9,45.25,39.50,5.75
246.9,45.25,39.50,5.75
247.9,45.00,40.00,5.00
248.9,45.25,39.50,5.75
249.9,45.50,40.00,5.50
250.9,45.50,39.75,5.75
251.9,45.50,39.50,6.00
252.9,45.00,40.25,4.75
253.9,45.25,40.00,5.25
254.9,45.25,40.25,5.00
255.9,45.50,39.75,5.75
256.9,45.50,39.75,5.75
257.9,45.75,39.75,6.00
258.9,45.50,39.75,5.75
259.9,45.75,40.25,5.50
260.9,46.00,40.00,6.00
261.9,45.75,40.25,5.50
262.9,45.50,40.25,5.25
263.9,45.75,40.25,5.50
264.9,46.00,40.25,5.75
265.9,46.25,40.00,6.25
267.0,46.00,40.00,6.00
268.0,46.25,40.50,5.75
269.0,46.25,40.25,6.00
270.0,46.00,40.50,5.50
271.0,46.25,40.50,5.75
272.0,46.50,40.25,6.25
273.0,46.00,40.75,5.25
274.0,46.25,40.25,6.00
275.0,46.75,40.75,6.00
276.0,47.00,40.75,6.25
277.0,46.75,40.75,6.00
278.0,46.75,40.75,6.00
279.0,47.00,40.75,6.25
280.0,46.50,41.00,5.50
281.0,46.75,41.00,5.75
282.0,47.00,40.75,6.25
283.0,46.75,40.75,6.00
284.0,46.75,41.00,5.75
285.0,47.00,41.00,6.00
286.0,46.75,40.25,6.50
287.0,46.75,41.00,5.75
288.0,47.25,41.00,6.25
289.0,47.00,41.00,6.00
290.0,47.25,41.00,6.25
291.0,47.00,41.25,5.75
292.0,47.50,41.25,6.25
293.0,47.00,41.25,5.75
294.0,46.75,41.25,5.50
295.0,47.50,40.75,6.75
296.0,47.25,40.25,7.00
297.0,47.00,41.25,5.75
298.0,47.75,41.50,6.25
299.0,47.50,41.50,6.00
300.0,47.00,41.00,6.00
301.0,47.75,41.50,6.25
302.0,47.50,41.00,6.50
303.0,47.00,41.50,5.50
304.0,48.00,41.00,7.00
305.1,48.00,41.50,6.50
306.1,48.00,41.50,6.50
307.1,48.00,41.75,6.25
308.1,47.75,41.50,6.25
309.1,48.00,41.00,7.00
310.1,47.75,41.25,6.50
311.1,48.00,41.25,6.75
312.1,47.75,41.50,6.25
313.1,47.75,41.25,6.50
314.1,48.00,41.25,6.75
315.1,48.50,41.75,6.75
316.1,48.00,41.75,6.25
317.1,48.50,41.75,6.75
318.1,48.50,41.50,7.00
319.1,48.50,42.00,6.50
320.1,48.50,42.00,6.50
321.1,48.25,41.75,6.50
322.1,48.25,42.00,6.25
323.1,48.75,41.50,7.25
324.1,48.75,42.00,6.75
325.1,48.75,42.25,6.50
326.1,48.75,42.50,6.25
327.1,48.75,42.25,6.50
328.1,48.75,42.25,6.50
329.1,49.00,42.25,6.75
330.1,49.00,42.25,6.75
331.1,49.00,42.25,6.75
332.1,49.00,42.25,6.75
333.1,48.75,42.00,6.75
334.1,49.00,42.50,6.50
335.1,49.25,42.50,6.75
336.1,48.75,42.50,6.25
337.1,49.25,42.00,7.25
338.1,49.25,42.50,6.75
339.1,49.00,42.50,6.50
340.1,49.50,42.50,7.00
341.1,49.50,42.50,7.00
342.2,49.00,42.00,7.00
343.2,49.50,42.50,7.00
344.2,49.50,42.25,7.25
345.2,49.25,42.50,6.75
346.2,49.25,42.50,6.75
347.2,49.50,42.50,7.00
348.2,49.50,42.75,6.75
349.2,49.75,42.75,7.00
350.2,49.75,42.25,7.50
351.2,49.75,43.00,6.75
352.2,50.00,43.00,7.00
353.2,49.75,43.00,6.75
354.2,48.75,43.00,5.75
355.2,49.75,43.00,6.75
356.2,50.00,43.25,6.75
357.2,49.75,42.75,7.00
358.2,49.75,43.25,6.50
359.2,50.25,43.00,7.25
360.2,50.25,43.00,7.25
361.2,50.25,43.25,7.00
362.2,50.25,43.00,7.25
363.2,50.25,43.25,7.00
364.2,50.50,43.00,7.50
365.2,50.00,43.25,6.75
366.2,50.25,43.00,7.25
367.2,50.00,42.75,7.25
368.2,50.50,43.00,7.50
369.2,50.75,43.50,7.25
370.2,50.75,43.25,7.50
371.2,50.75,43.75,7.00
372.2,50.75,43.50,7.25
373.2,51.00,43.75,7.25
374.2,50.50,43.50,7.00
375.2,50.75,43.75,7.00
376.2,50.75,43.75,7.00
377.2,51.00,43.50,7.50
378.2,51.00,43.75,7.25
379.2,51.25,43.75,7.50
380.3,51.00,43.75,7.25
381.3,51.00,43.50,7.50
382.3,51.25,44.00,7.25
383.3,51.00,44.00,7.00
384.3,50.75,44.25,6.50
385.3,51.25,44.00,7.25
386.3,51.25,44.00,7.25
387.3,51.00,43.75,7.25
388.3,51.25,43.75,7.50
389.3,51.00,44.00,7.00
390.3,51.00,44.25,6.75
391.3,51.50,44.25,7.25
392.3,51.50,44.25,7.25
393.3,51.50,44.25,7.25
394.3,51.00,44.25,6.75
395.3,51.50,44.50,7.00
396.3,51.50,44.25,7.25
397.3,51.25,44.50,6.75
398.3,51.75,44.50,7.25
399.3,51.75,44.50,7.25
400.3,51.25,44.50,6.75
401.3,52.00,44.50,7.50
402.3,51.75,44.75,7.00
403.3,52.25,44.25,8.00
404.3,51.50,44.75,6.75
405.3,51.75,44.75,7.00
406.3,51.75,44.75,7.00
407.3,52.00,44.75,7.25
408.3,51.75,45.00,6.75
409.3,52.25,44.75,7.50
410.3,51.75,44.75,7.00
411.3,52.00,45.00,7.00
412.3,52.25,44.50,7.75
413.3,52.25,45.00,7.25
414.3,52.50,45.00,7.50
415.3,52.50,44.75,7.75
416.3,52.50,44.50,8.00
417.4,52.75,45.25,7.50
418.4,52.75,45.00,7.75
419.4,53.00,45.00,8.00
420.4,52.50,45.00,7.50
421.4,52.25,45.25,7.00
422.4,52.75,45.25,7.50
423.4,52.50,45.00,7.50
424.4,52.25,45.25,7.00
425.4,52.50,45.25,7.25
426.4,53.00,45.25,7.75
427.4,52.50,45.25,7.25
428.4,53.00,45.25,7.75
429.4,52.25,45.25,7.00
430.4,53.00,45.50,7.50
431.4,53.00,45.50,7.50
432.4,52.75,45.50,7.25
433.4,53.25,45.50,7.75
434.4,52.50,45.50,7.00
435.4,52.75,45.50,7.25
436.4,53.75,45.75,8.00
437.4,53.50,45.75,7.75
438.4,53.25,45.75,7.50
439.4,53.25,45.75,7.50
440.4,53.25,46.00,7.25
441.4,53.25,46.00,7.25
442.4,53.25,45.75,7.50
443.4,53.25,46.00,7.25
444.4,53.50,46.00,7.50
445.4,53.75,46.00,7.75
446.4,53.75,46.00,7.75
447.4,53.25,46.25,7.00
448.4,53.25,45.75,7.50
449.4,54.00,46.25,7.75
450.4,53.75,46.25,7.50
451.4,53.25,46.25,7.00
452.4,53.50,46.00,7.50
453.4,54.00,46.00,8.00
454.4,54.00,46.50,7.50
455.5,54.00,46.75,7.25
456.5,54.00,46.00,8.00
457.5,53.50,46.50,7.00
458.5,54.00,46.50,7.50
459.5,54.00,46.50,7.50
460.5,54.00,46.50,7.50
461.5,54.00,47.00,7.00
462.5,54.25,46.75,7.50
463.5,54.25,46.25,8.00
464.5,54.50,46.75,7.75
465.5,54.25,46.75,7.50
466.5,54.00,46.75,7.25
467.5,54.00,47.00,7.00
468.5,54.50,47.00,7.50
469.5,54.00,47.25,6.75
470.5,54.25,46.50,7.75
471.5,54.00,47.00,7.00
472.5,54.75,47.00,7.75
473.5,54.50,46.75,7.75
474.5,54.50,46.75,7.75
475.5,54.50,47.00,7.50
476.5,54.25,47.25,7.00
477.5,54.50,47.25,7.25
478.5,54.50,47.25,7.25
479.5,54.75,47.50,7.25
480.5,54.75,47.25,7.50
481.5,54.75,47.25,7.50
482.5,54.50,47.25,7.25
483.5,55.00,47.25,7.75
484.5,55.00,47.25,7.75
485.5,55.00,47.50,7.50
486.5,54.75,47.75,7.00
487.5,55.25,47.25,8.00
488.5,54.50,47.50,7.00
489.5,55.00,47.25,7.75
490.5,55.25,47.50,7.75
491.5,55.00,47.50,7.50
492.5,55.50,47.75,7.75
493.6,55.25,47.50,7.75
494.6,55.50,47.75,7.75
495.6,55.25,47.75,7.50
496.6,55.25,47.50,7.75
497.6,55.00,48.00,7.00
498.6,55.00,48.00,7.00
499.6,55.50,48.00,7.50
500.6,55.25,48.00,7.25
501.6,55.75,47.75,8.00
502.6,55.50,48.00,7.50
503.6,55.75,48.25,7.50
504.6,55.00,48.25,6.75
505.6,56.00,47.75,8.25
506.6,55.75,48.25,7.50
507.6,55.75,48.00,7.75
508.6,55.75,48.25,7.50
509.6,55.75,48.50,7.25
510.6,56.00,48.50,7.50
511.6,55.75,48.25,7.50
512.6,56.25,48.00,8.25
513.6,56.00,48.25,7.75
514.6,55.50,48.00,7.50
515.6,56.25,48.50,7.75
516.6,55.50,48.50,7.00
517.6,56.50,48.25,8.25
518.6,56.50,48.25,8.25
519.6,56.00,48.25,7.75
520.6,56.50,48.75,7.75
521.6,56.25,48.75,7.50
522.6,56.50,48.00,8.50
523.6,56.50,48.00,8.50
524.6,56.25,48.75,7.50
525.6,56.50,48.50,8.00
526.6,56.25,48.00,8.25
527.6,56.50,48.75,7.75
528.6,56.50,48.50,8.00
529.6,56.75,48.50,8.25
530.7,56.25,49.00,7.25
531.7,56.75,48.50,8.25
532.7,56.75,49.00,7.75
533.7,56.75,48.50,8.25
534.7,56.75,49.00,7.75
535.7,56.75,48.50,8.25
536.7,56.75,48.75,8.00
537.7,56.75,49.25,7.50
538.7,56.75,49.00,7.75
539.7,57.00,49.00,8.00
540.7,57.25,49.00,8.25
541.7,56.50,49.25,7.25
542.7,56.75,49.00,7.75
543.7,57.00,49.00,8.00
544.7,57.25,49.25,8.00
545.7,57.25,49.25,8.00
546.7,57.25,49.00,8.25
547.7,57.25,49.25,8.00
548.7,57.25,49.50,7.75
549.7,57.50,49.00,8.50
550.7,57.50,49.25,8.25
551.7,57.75,49.50,8.25
552.7,57.50,49.50,8.00
553.7,57.75,49.00,8.75
554.7,57.00,49.50,7.50
555.7,57.50,49.50,8.00
556.7,57.25,49.75,7.50
557.7,58.00,49.50,8.50
558.7,57.50,49.75,7.75
559.7,58.00,50.00,8.00
560.7,57.50,49.25,8.25
561.7,57.25,50.00,7.25
562.7,57.75,49.50,8.25
563.7,57.75,49.75,8.00
564.7,58.00,50.00,8.00
565.7,57.75,49.25,8.50
566.7,57.75,50.25,7.50
567.7,57.50,50.25,7.25
568.8,58.25,50.25,8.00
569.8,58.00,49.75,8.25
570.8,58.00,50.00,8.00
571.8,58.00,50.50,7.50
572.8,57.75,49.75,8.00
573.8,58.25,49.75,8.50
574.8,58.25,50.25,8.00
575.8,58.50,49.50,9.00
576.8,57.75,50.25,7.50
577.8,58.25,50.25,8.00
578.8,58.25,50.25,8.00
579.8,58.50,50.50,8.00
580.8,58.25,50.50,7.75
581.8,58.25,50.25,8.00
582.8,58.25,50.50,7.75
583.8,58.50,50.00,8.50
584.8,58.00,50.75,7.25
585.8,58.25,50.25,8.00
586.8,58.75,50.25,8.50
587.8,58.50,50.00,8.50
588.8,58.75,50.50,8.25
589.8,58.25,50.75,7.50
590.8,58.75,50.50,8.25
591.8,58.75,50.25,8.50
592.8,58.75,50.50,8.25
593.8,59.00,50.25,8.75
594.8,58.50,51.00,7.50
595.8,59.00,50.00,9.00
596.8,58.75,50.75,8.00
597.8,59.00,51.25,7.75
598.8,59.25,50.75,8.50
599.8,59.00,51.00,8.00
600.8,59.00,50.50,8.50
601.8,59.00,50.50,8.50
602.8,59.00,51.25,7.75
