□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□
# BTSB bench test - dual thermocouple log
# TC1 = HOT plate, TC2 = COLD plate, temps in deg C
# Hard limit 120 C on TC1 - cut power if ALARM appears
time_s,T1_hot_C,T2_cold_C,delta_C
165.7,39.50,38.25,1.25
166.7,39.25,38.25,1.00
167.7,39.75,37.75,2.00
168.7,39.75,38.50,1.25
169.7,39.75,38.25,1.50
170.7,40.00,38.50,1.50
171.7,39.75,38.50,1.25
172.7,40.00,38.00,2.00
173.7,40.00,37.75,2.25
174.7,39.75,38.75,1.00
175.7,40.00,38.25,1.75
176.7,39.75,38.25,1.50
177.7,40.00,38.25,1.75
178.7,40.25,38.50,1.75
179.7,40.50,37.75,2.75
180.7,40.50,38.75,1.75
181.7,40.50,38.25,2.25
182.7,40.50,38.75,1.75
183.7,40.50,39.00,1.50
184.7,40.00,38.50,1.50
185.7,40.25,38.50,1.75
186.7,40.75,39.00,1.75
187.7,40.75,39.00,1.75
188.7,40.25,39.25,1.00
189.7,40.50,39.00,1.50
190.8,40.75,39.25,1.50
191.8,41.00,38.75,2.25
192.8,40.50,39.00,1.50
193.8,40.50,39.50,1.00
194.8,40.75,39.25,1.50
195.8,41.00,39.25,1.75
196.8,40.75,39.25,1.50
197.8,41.25,39.00,2.25
198.8,41.25,39.50,1.75
199.8,41.25,39.50,1.75
200.8,41.25,39.75,1.50
201.8,41.25,39.25,2.00
202.8,40.75,39.25,1.50
203.8,41.00,39.75,1.25
204.8,41.75,39.50,2.25
205.8,41.75,40.00,1.75
206.8,41.00,39.75,1.25
207.8,41.75,39.75,2.00
208.8,41.75,39.75,2.00
209.8,41.75,40.00,1.75
210.8,41.75,40.00,1.75
211.8,42.00,40.00,2.00
212.8,42.00,40.25,1.75
213.8,42.00,40.00,2.00
214.8,41.50,39.75,1.75
215.8,42.00,39.75,2.25
216.8,41.75,40.25,1.50
217.8,41.75,40.25,1.50
218.8,42.25,39.75,2.50
219.8,42.25,40.50,1.75
220.8,42.75,40.00,2.75
221.8,42.00,40.25,1.75
222.8,42.75,40.75,2.00
223.8,42.00,40.50,1.50
224.8,42.25,40.75,1.50
225.8,42.50,40.75,1.75
226.8,42.50,40.75,1.75
227.8,43.00,40.75,2.25
228.9,42.50,40.75,1.75
229.9,42.50,40.25,2.25
230.9,43.25,40.75,2.50
231.9,43.00,40.75,2.25
232.9,43.25,41.00,2.25
233.9,43.25,41.25,2.00
234.9,42.50,41.25,1.25
235.9,42.75,41.00,1.75
236.9,43.00,41.25,1.75
237.9,42.75,41.25,1.50
238.9,42.75,41.50,1.25
239.9,43.50,41.00,2.50
240.9,43.75,41.50,2.25
241.9,43.25,41.25,2.00
242.9,43.00,41.25,1.75
243.9,43.75,41.75,2.00
244.9,43.75,41.75,2.00
245.9,43.75,41.00,2.75
246.9,43.75,41.75,2.00
247.9,43.50,41.50,2.00
248.9,44.00,41.25,2.75
249.9,43.50,41.50,2.00
250.9,43.75,41.25,2.50
251.9,44.00,41.50,2.50
252.9,44.25,41.50,2.75
253.9,43.75,41.50,2.25
254.9,44.00,41.50,2.50
255.9,44.00,42.25,1.75
256.9,44.50,42.25,2.25
257.9,44.25,41.50,2.75
258.9,43.75,41.75,2.00
259.9,44.25,42.25,2.00
260.9,44.25,42.00,2.25
261.9,44.75,42.00,2.75
262.9,44.75,42.25,2.50
263.9,44.00,42.25,1.75
264.9,44.50,42.25,2.25
265.9,44.75,42.00,2.75
267.0,44.50,42.50,2.00
268.0,45.00,42.00,3.00
269.0,45.00,42.75,2.25
270.0,44.50,42.50,2.00
271.0,45.00,42.50,2.50
272.0,45.00,43.00,2.00
273.0,45.00,42.25,2.75
274.0,45.00,42.50,2.50
275.0,45.25,43.00,2.25
276.0,45.25,42.25,3.00
277.0,45.50,42.75,2.75
278.0,45.00,42.25,2.75
279.0,45.50,42.75,2.75
280.0,45.50,43.00,2.50
281.0,45.50,42.50,3.00
282.0,45.25,43.50,1.75
283.0,45.75,43.00,2.75
284.0,45.50,43.75,1.75
285.0,45.75,43.50,2.25
286.0,45.50,43.50,2.00
287.0,45.75,43.50,2.25
288.0,45.75,43.50,2.25
289.0,46.00,43.00,3.00
290.0,46.00,44.00,2.00
291.0,45.75,43.50,2.25
292.0,46.25,43.50,2.75
293.0,46.25,43.25,3.00
294.0,45.50,43.25,2.25
295.0,46.50,43.75,2.75
296.0,46.50,43.75,2.75
297.0,46.25,43.75,2.50
298.0,46.25,44.00,2.25
299.0,46.00,43.75,2.25
300.0,46.50,44.25,2.25
301.0,46.75,44.00,2.75
302.0,46.25,43.75,2.50
303.0,47.00,44.00,3.00
304.0,46.50,44.50,2.00
305.1,46.75,44.50,2.25
306.1,46.75,44.50,2.25
307.1,47.00,44.50,2.50
308.1,47.00,44.25,2.75
309.1,46.25,44.50,1.75
310.1,47.00,44.75,2.25
311.1,46.50,44.75,1.75
312.1,47.00,44.50,2.50
313.1,47.00,44.50,2.50
314.1,47.00,44.75,2.25
315.1,47.50,45.00,2.50
316.1,47.25,44.75,2.50
317.1,47.25,45.00,2.25
318.1,47.25,45.00,2.25
319.1,47.50,44.75,2.75
320.1,47.50,45.00,2.50
321.1,48.00,45.25,2.75
322.1,47.50,45.50,2.00
323.1,47.00,45.50,1.50
324.1,47.50,44.75,2.75
325.1,47.75,45.25,2.50
326.1,47.75,45.75,2.00
327.1,48.00,45.50,2.50
328.1,48.00,45.25,2.75
329.1,48.00,45.75,2.25
330.1,47.75,45.75,2.00
331.1,48.25,46.00,2.25
332.1,47.75,46.00,1.75
333.1,48.50,46.00,2.50
334.1,48.00,46.00,2.00
335.1,48.25,46.00,2.25
336.1,48.00,46.00,2.00
337.1,48.50,45.25,3.25
338.1,48.25,46.00,2.25
339.1,48.50,45.75,2.75
340.1,48.75,46.25,2.50
341.1,48.25,46.25,2.00
342.2,49.00,46.00,3.00
343.2,49.00,46.25,2.75
344.2,48.50,45.75,2.75
345.2,48.50,46.00,2.50
346.2,48.50,46.50,2.00
347.2,48.50,46.50,2.00
348.2,49.00,47.00,2.00
349.2,49.00,46.00,3.00
350.2,49.25,46.25,3.00
351.2,49.00,46.75,2.25
352.2,49.25,46.50,2.75
353.2,49.50,46.50,3.00
354.2,49.50,46.50,3.00
355.2,49.50,47.00,2.50
356.2,49.50,47.00,2.50
357.2,49.75,47.25,2.50
358.2,49.25,46.75,2.50
359.2,49.50,47.00,2.50
360.2,50.00,47.00,3.00
361.2,49.50,46.75,2.75
362.2,49.50,47.00,2.50
363.2,50.00,47.50,2.50
364.2,49.50,47.00,2.50
365.2,49.75,47.50,2.25
366.2,49.50,47.50,2.00
367.2,49.75,47.25,2.50
368.2,50.25,47.50,2.75
369.2,49.75,47.75,2.00
370.2,49.25,47.75,1.50
371.2,50.00,47.75,2.25
372.2,49.75,48.00,1.75
373.2,50.50,48.00,2.50
374.2,50.25,47.50,2.75
375.2,50.50,47.25,3.25
376.2,50.50,48.00,2.50
377.2,50.75,47.75,3.00
378.2,50.25,47.50,2.75
379.2,50.75,47.75,3.00
380.3,50.75,48.25,2.50
381.3,50.75,48.25,2.50
382.3,50.00,48.00,2.00
383.3,50.50,48.50,2.00
384.3,50.50,48.25,2.25
385.3,51.00,48.50,2.50
386.3,51.25,48.00,3.25
387.3,51.00,47.75,3.25
388.3,51.00,48.25,2.75
389.3,51.25,48.00,3.25
390.3,51.25,48.75,2.50
391.3,51.25,48.50,2.75
392.3,51.50,49.00,2.50
393.3,51.00,48.75,2.25
394.3,51.25,48.50,2.75
395.3,51.50,48.50,3.00
396.3,51.00,49.00,2.00
397.3,51.25,48.25,3.00
398.3,51.25,49.25,2.00
399.3,51.50,49.00,2.50
400.3,51.25,49.25,2.00
401.3,52.00,49.25,2.75
402.3,51.00,49.25,1.75
403.3,51.75,49.50,2.25
404.3,51.25,49.50,1.75
405.3,51.50,49.50,2.00
406.3,52.00,49.50,2.50
407.3,51.75,49.25,2.50
408.3,52.00,49.50,2.50
409.3,52.00,49.75,2.25
410.3,52.25,49.25,3.00
411.3,51.75,49.00,2.75
412.3,52.00,49.75,2.25
413.3,52.25,49.00,3.25
414.3,52.25,49.75,2.50
415.3,51.75,49.75,2.00
416.3,52.50,50.25,2.25
417.4,52.75,49.75,3.00
418.4,52.75,49.75,3.00
419.4,52.50,49.75,2.75
420.4,52.75,49.75,3.00
421.4,52.25,50.00,2.25
422.4,52.75,49.75,3.00
423.4,52.75,50.25,2.50
424.4,52.75,49.75,3.00
425.4,53.00,50.75,2.25
426.4,52.75,50.50,2.25
427.4,53.00,50.50,2.50
428.4,53.00,50.25,2.75
429.4,53.00,50.00,3.00
430.4,53.25,50.75,2.50
431.4,53.00,50.75,2.25
432.4,53.50,51.00,2.50
433.4,53.00,50.75,2.25
434.4,52.75,50.75,2.00
435.4,53.00,50.25,2.75
436.4,53.50,50.75,2.75
437.4,53.50,51.00,2.50
438.4,53.75,50.50,3.25
439.4,53.50,50.75,2.75
440.4,53.50,50.50,3.00
441.4,53.75,51.00,2.75
442.4,53.50,51.25,2.25
443.4,53.50,51.00,2.50
444.4,53.75,51.00,2.75
445.4,53.50,51.50,2.00
446.4,53.50,50.75,2.75
447.4,53.75,51.25,2.50
448.4,53.75,51.00,2.75
449.4,54.00,51.75,2.25
450.4,54.00,51.50,2.50
451.4,54.25,51.25,3.00
452.4,54.25,52.00,2.25
453.4,54.25,51.50,2.75
454.4,54.50,51.25,3.25
455.5,54.00,51.50,2.50
456.5,54.25,51.50,2.75
457.5,54.00,51.50,2.50
458.5,54.00,51.75,2.25
459.5,54.25,52.00,2.25
460.5,54.50,52.25,2.25
461.5,54.75,52.50,2.25
462.5,54.50,52.25,2.25
463.5,54.25,52.25,2.00
464.5,54.75,52.00,2.75
465.5,54.75,52.25,2.50
466.5,54.75,52.50,2.25
467.5,54.75,52.00,2.75
468.5,54.75,52.00,2.75
469.5,54.75,52.25,2.50
470.5,54.75,52.50,2.25
471.5,55.00,52.50,2.50
472.5,55.25,52.25,3.00
473.5,55.25,52.75,2.50
474.5,55.25,52.50,2.75
475.5,55.50,53.00,2.50
476.5,54.75,52.00,2.75
477.5,54.75,53.00,1.75
478.5,54.75,52.75,2.00
479.5,55.25,53.00,2.25
480.5,55.00,53.00,2.00
481.5,55.25,52.50,2.75
482.5,55.00,53.00,2.00
483.5,55.50,53.00,2.50
484.5,55.75,53.25,2.50
485.5,55.75,53.50,2.25
486.5,55.00,53.25,1.75
487.5,55.25,53.50,1.75
488.5,55.50,53.50,2.00
489.5,55.25,53.00,2.25
490.5,56.00,53.25,2.75
491.5,55.50,53.75,1.75
492.5,55.75,53.50,2.25
493.6,56.25,54.00,2.25
494.6,55.50,53.25,2.25
495.6,56.00,54.00,2.00
496.6,56.00,54.00,2.00
497.6,56.25,54.00,2.25
498.6,56.25,53.75,2.50
499.6,56.50,54.00,2.50
500.6,56.25,54.25,2.00
501.6,56.00,54.00,2.00
502.6,56.50,53.50,3.00
503.6,56.25,54.00,2.25
504.6,56.75,54.25,2.50
505.6,56.50,54.25,2.25
506.6,56.25,54.00,2.25
507.6,56.50,54.50,2.00
508.6,56.50,54.25,2.25
509.6,57.00,54.00,3.00
510.6,56.25,54.25,2.00
511.6,56.25,54.50,1.75
512.6,56.75,54.50,2.25
513.6,56.75,54.75,2.00
514.6,57.00,54.50,2.50
515.6,56.50,54.75,1.75
516.6,57.00,55.00,2.00
517.6,57.00,55.00,2.00
518.6,57.00,55.00,2.00
519.6,57.00,54.50,2.50
520.6,57.25,55.25,2.00
521.6,57.25,54.75,2.50
522.6,57.50,55.00,2.50
523.6,57.50,55.25,2.25
524.6,57.75,55.00,2.75
525.6,57.50,55.00,2.50
526.6,57.50,54.75,2.75
527.6,57.75,55.50,2.25
528.6,57.75,55.50,2.25
529.6,57.25,55.00,2.25
530.7,57.75,55.25,2.50
531.7,57.50,55.75,1.75
532.7,58.25,55.75,2.50
533.7,57.75,55.50,2.25
534.7,57.75,56.00,1.75
535.7,57.00,55.75,1.25
536.7,57.00,55.75,1.25
537.7,57.75,55.50,2.25
538.7,58.25,55.00,3.25
539.7,58.00,55.75,2.25
540.7,58.50,56.00,2.50
541.7,58.25,55.75,2.50
542.7,58.50,56.25,2.25
543.7,58.50,56.25,2.25
544.7,58.25,55.75,2.50
545.7,58.00,56.00,2.00
546.7,58.25,56.25,2.00
547.7,58.25,56.00,2.25
548.7,58.50,56.00,2.50
549.7,58.00,55.75,2.25
550.7,58.50,56.00,2.50
551.7,58.75,56.00,2.75
552.7,58.75,56.50,2.25
553.7,58.75,56.75,2.00
554.7,58.25,56.50,1.75
555.7,59.00,56.25,2.75
556.7,58.25,56.75,1.50
557.7,59.25,56.25,3.00
558.7,58.75,56.25,2.50
559.7,59.25,56.25,3.00
560.7,58.75,56.75,2.00
561.7,59.00,56.75,2.25
562.7,59.25,56.50,2.75
563.7,59.25,56.75,2.50
564.7,59.50,57.00,2.50
565.7,59.00,56.50,2.50
566.7,59.25,57.00,2.25
567.7,59.50,57.00,2.50
568.8,59.25,56.50,2.75
569.8,59.25,56.50,2.75
570.8,59.75,56.75,3.00
571.8,58.75,56.75,2.00
572.8,59.75,57.00,2.75
573.8,59.25,57.50,1.75
574.8,59.75,57.50,2.25
575.8,59.75,57.00,2.75
576.8,59.75,57.00,2.75
577.8,59.75,57.25,2.50
578.8,59.50,57.25,2.25
579.8,59.50,57.50,2.00
580.8,60.00,57.50,2.50
581.8,60.00,57.50,2.50
582.8,60.00,57.25,2.75
583.8,59.75,57.50,2.25
584.8,60.00,57.75,2.25
585.8,60.25,57.75,2.50
586.8,59.75,57.25,2.50
587.8,60.00,57.75,2.25
588.8,60.00,57.50,2.50
589.8,60.50,58.00,2.50
590.8,60.00,58.00,2.00
591.8,60.25,58.00,2.25
592.8,60.50,58.00,2.50
593.8,60.00,58.50,1.50
594.8,60.50,58.50,2.00
595.8,60.50,57.75,2.75
596.8,60.50,58.25,2.25
597.8,60.50,58.00,2.50
598.8,60.75,57.75,3.00
599.8,60.50,58.75,1.75
600.8,60.50,58.50,2.00
601.8,61.00,58.75,2.25
602.8,60.50,58.50,2.00
603.8,61.00,58.50,2.50
604.8,60.75,58.50,2.25
605.9,61.00,58.50,2.50
606.9,61.00,58.75,2.25
607.9,60.75,58.50,2.25
608.9,61.25,58.50,2.75
609.9,61.25,58.75,2.50
610.9,61.00,58.50,2.50
611.9,61.00,58.25,2.75
612.9,61.25,59.00,2.25
613.9,61.50,58.50,3.00
614.9,61.25,58.75,2.50
615.9,61.75,59.25,2.50
616.9,61.00,59.25,1.75
617.9,61.25,58.75,2.50
618.9,61.50,59.50,2.00
619.9,61.50,59.25,2.25
620.9,61.50,59.25,2.25
621.9,61.25,59.50,1.75
622.9,61.75,59.50,2.25
623.9,61.75,59.50,2.25
624.9,61.50,59.50,2.00
625.9,61.75,59.50,2.25
626.9,62.25,59.25,3.00
627.9,61.75,59.75,2.00
628.9,62.00,60.00,2.00
629.9,61.75,59.50,2.25
630.9,62.00,59.75,2.25
631.9,62.00,60.00,2.00
632.9,62.25,59.50,2.75
633.9,62.25,60.25,2.00
634.9,61.75,59.75,2.00
635.9,62.25,60.00,2.25
636.9,62.25,60.25,2.00
637.9,62.25,60.25,2.00
638.9,62.50,60.25,2.25
639.9,62.50,60.50,2.00
640.9,62.50,60.25,2.25
641.9,62.50,60.00,2.50
643.0,62.50,60.50,2.00
644.0,62.25,60.75,1.50
645.0,62.50,60.25,2.25
646.0,62.50,60.50,2.00
647.0,62.75,60.25,2.50
648.0,62.75,60.75,2.00
649.0,62.50,60.50,2.00
650.0,63.00,60.75,2.25
651.0,62.75,60.75,2.00
652.0,63.25,60.50,2.75
653.0,63.00,60.75,2.25
654.0,63.00,60.75,2.25
655.0,63.00,60.75,2.25
656.0,63.00,60.50,2.50
657.0,63.00,61.25,1.75
658.0,63.25,60.75,2.50
659.0,63.25,61.25,2.00
660.0,63.00,61.00,2.00
661.0,63.25,61.00,2.25
662.0,63.25,61.50,1.75
663.0,63.00,61.25,1.75
664.0,63.50,61.25,2.25
665.0,63.00,60.75,2.25
666.0,63.50,61.50,2.00
667.0,63.75,61.25,2.50
668.0,63.25,61.50,1.75
669.0,63.00,61.00,2.00
670.0,63.25,61.25,2.00
671.0,63.75,61.75,2.00
672.0,63.75,61.75,2.00
673.0,63.75,61.50,2.25
674.0,64.00,61.25,2.75
675.0,64.00,61.00,3.00
676.0,64.00,61.75,2.25
677.0,63.75,61.50,2.25
678.0,64.25,61.75,2.50
679.0,63.75,61.50,2.25
680.0,64.00,61.50,2.50
681.1,64.00,62.00,2.00
682.1,64.00,61.50,2.50
683.1,63.75,61.75,2.00
684.1,64.25,62.25,2.00
685.1,64.25,61.75,2.50
686.1,64.25,62.00,2.25
687.1,64.00,62.00,2.00
688.1,64.00,62.00,2.00
689.1,64.50,61.50,3.00
690.1,64.25,62.25,2.00
691.1,64.00,62.25,1.75
692.1,64.50,62.25,2.25
693.1,64.25,62.25,2.00
694.1,64.25,62.50,1.75
695.1,64.50,62.75,1.75
696.1,64.50,62.50,2.00
697.1,64.75,62.50,2.25
